inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
2101,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"ACE JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2102,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"ACE JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2103,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2104,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2105,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2106,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2107,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2108,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2109,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2110,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2111,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2112,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2113,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2114,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2115,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2116,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2117,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2118,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2119,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2120,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2121,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2122,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2123,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2124,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2125,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2126,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"TYSON SLEEVELESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
