inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
4174,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4175,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4176,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4177,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4178,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4179,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4180,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4181,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4182,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4183,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4184,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4185,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4186,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,L,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4187,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4188,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4189,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4190,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4191,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4192,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
